date,avg_price,open_price,max_price,min_prie,close_price,last_price,coef,lsp,change,buys,sells,deals,number,volume,currency,ISIN
2023-06-14,4.40866687,4.47,4.48,4.37,4.45,4.438,1,4.438,-0.27,4.438,4.438,1115.0,169031.0,745201.37,EUR,EE3100137985
2023-06-15,4.40779968,4.44,4.47,4.38,4.438,4.388,1,4.388,-1.13,4.388,4.388,2604.0,167833.0,739774.244,EUR,EE3100137985
2023-06-16,4.39172292,4.4,4.418,4.374,4.388,4.374,1,4.374,-0.32,4.374,4.374,2205.0,141034.0,619382.25,EUR,EE3100137985
2023-06-19,4.38064673,4.39,4.41,4.37,4.374,4.37,1,4.37,-0.09,4.37,4.37,1398.0,105320.0,461369.714,EUR,EE3100137985
2023-06-20,4.35895547,4.37,4.378,4.35,4.37,4.35,1,4.35,-0.46,4.35,4.35,1174.0,122878.0,535619.73,EUR,EE3100137985
2023-06-21,4.3473682,4.342,4.372,4.338,4.35,4.372,1,4.372,0.51,4.372,4.372,756.0,49639.0,215799.01,EUR,EE3100137985
2023-06-22,4.37948663,4.374,4.39,4.372,4.372,4.386,1,4.386,0.32,4.386,4.386,493.0,40322.0,176589.66,EUR,EE3100137985
2023-06-23,,4.386,,,4.386,4.386,1,4.386,,,,,,,EUR,EE3100137985
2023-06-26,4.37692948,4.39,4.44,4.348,4.386,4.35,1,4.35,-0.82,4.35,4.35,888.0,129625.0,567359.484,EUR,EE3100137985
2023-06-27,4.34743377,4.36,4.378,4.338,4.35,4.344,1,4.344,-0.14,4.344,4.344,708.0,46751.0,203246.876,EUR,EE3100137985
2023-06-28,4.35126377,4.348,4.368,4.34,4.344,4.36,1,4.36,0.37,4.36,4.36,491.0,30140.0,131147.09,EUR,EE3100137985
2023-06-29,4.35613519,4.368,4.38,4.338,4.36,4.342,1,4.342,-0.41,4.342,4.342,619.0,47297.0,206032.126,EUR,EE3100137985
2023-06-30,4.35541133,4.35,4.364,4.346,4.342,4.36,1,4.36,0.41,4.36,4.36,410.0,17521.0,76311.162,EUR,EE3100137985
2023-07-03,4.35895469,4.366,4.37,4.35,4.36,4.35,1,4.35,-0.23,4.35,4.35,717.0,52794.0,230126.654,EUR,EE3100137985
2023-07-04,4.35154199,4.35,4.36,4.346,4.35,4.36,1,4.36,0.23,4.36,4.36,530.0,31934.0,138962.142,EUR,EE3100137985
2023-07-05,4.35471064,4.356,4.36,4.35,4.36,4.356,1,4.356,-0.09,4.356,4.356,469.0,17905.0,77971.094,EUR,EE3100137985
2023-07-06,4.35079461,4.358,4.362,4.338,4.356,4.35,1,4.35,-0.14,4.35,4.35,792.0,73973.0,321841.33,EUR,EE3100137985
2023-07-07,4.34893867,4.35,4.358,4.34,4.35,4.352,1,4.352,0.05,4.352,4.352,516.0,41663.0,181189.832,EUR,EE3100137985
2023-07-10,4.32835297,4.342,4.35,4.312,4.352,4.318,1,4.318,-0.78,4.318,4.318,1109.0,65597.0,283926.97,EUR,EE3100137985
2023-07-11,4.33027794,4.32,4.348,4.32,4.318,4.338,1,4.338,0.46,4.338,4.338,610.0,61294.0,265420.056,EUR,EE3100137985
2023-07-12,4.34901437,4.34,4.368,4.33,4.338,4.334,1,4.334,-0.09,4.334,4.334,535.0,77776.0,338248.942,EUR,EE3100137985
2023-07-13,4.34326195,4.338,4.35,4.338,4.334,4.344,1,4.344,0.23,4.344,4.344,354.0,23909.0,103843.05,EUR,EE3100137985
2023-07-14,4.34939869,4.35,4.356,4.344,4.344,4.348,1,4.348,0.09,4.348,4.35,348.0,54581.0,237394.53,EUR,EE3100137985
2023-07-17,4.31187853,4.348,4.354,4.292,4.348,4.3,1,4.3,-1.1,4.3,4.3,1235.0,170320.0,734399.152,EUR,EE3100137985
2023-07-18,4.29457054,4.3,4.32,4.288,4.3,4.29,1,4.29,-0.23,4.29,4.29,749.0,95646.0,410758.494,EUR,EE3100137985
