station_name,station_id
BOURNEMOUTH,038620-99999
SOUTHAMPTON,038650-99999
WIGHT: ST. CATHERINES POINT,038660-99999
THORNEY ISLAND,038720-99999
SHOREHAM,038760-99999
NEWHAVEN (LGT-H),038800-99999
HERSTMONCEUX  WEST END,038820-99999
HERSTMONCEUX,038840-99999
LYDD,038873-99999
ALDERNEY,038915-99999
GUERNSEY,038940-99999
JERSEY,038950-99999
CORGARY,039020-99999
CASTLEDERG,039040-99999
CARRIGANS,039050-99999
CARMONEY,039060-99999
LONDONDERRY EGLINTON,039084-99999
LOUGH FEA,039110-99999
PORTGLENONE,039150-99999
BALLYPATRICK FOREST,039160-99999
ALDERGROVE,039170-99999
HILLSBOROUGH,039200-99999
GLENANNE NO2,039230-99999
ORLOCK HEAD,039250-99999
HELENS BAY,039270-99999
LARNE,039280-99999
ROCHES POINT,039520-99999
VALENTIA OBSERVATORY,039530-99999
CORK,039550-99999
JOHNSTOWN CASTLE,039560-99999
ROSSLARE,039570-99999
KILKENNY,039600-99999
SHANNON,039620-99999
BIRR,039650-99999
CASEMENT,039670-99999
DUBLIN,039690-99999
CLAREMORRIS,039700-99999
MULLINGAR,039710-99999
CONNAUGHT,039730-99999
CLONES,039740-99999
BELMULLET,039760-99999
FINNER,039780-99999
MALIN HEAD,039800-99999
GUFUSKALAR,040040-99999
BOLUNGAVIK,040050-99999
STYKKISHOLMUR,040130-99999
KEFLAVIK NAVAL AIR STATION,040180-16201
HORNBJARGSVITI (LH),040230-99999
REYKJAVIK,040300-99999
EYRARBAKKI,040380-99999
BLONDUOS,040450-99999
VESTMANNAEYJAR,040480-99999
BERGSTADIR,040530-99999
HVERAVELLIR,040560-99999
AKUREYRI,040630-99999
KIRKJUBAEJARKLAUSTUR,040640-99999
GRIMSEY ISLAND,040650-99999
GRIMSSTADIR,040730-99999
RAUFARHOFN,040770-99999
HORNAFJORDUR,040820-99999
SKJALDTHINGSSTADIR,040850-99999
EGILSSTADIR,040890-99999
DALATANGI,040970-99999
VESTMANNAEYJABAER,041460-99999
KARAHNJUKAR,041760-99999
PITUFFIK SPACE BASE,042020-99999
AASIAAT MITTARFIA,042021-99999
QAARSUT MITTARFIA,042023-99999
KITSISSUT (CAREY OEER),042030-99999
MANIITSOQ,042040-99999
MITTARFIK QAANAAQ,042050-99999
HALL LAND,042070-99999
KITSISSORSUIT (EDDERFUGLE OEE,042080-99999
UPERNAVIK,042100-99999
NUUSSUAATAA (NUUSSUAQ),042140-99999
AASIAAT (EGEDESMINDE),042200-99999
ILULISSAT (JAKOBSHAVN),042210-99999
KITSISSUT (ATTU),042280-99999
SISIMIUT /HOLSTEINS,042300-99999
SONDRE STROMFJORD,042310-99999
SIORALIK,042420-99999
NUUK (GODTHAAB),042500-99999
UKIIVIK (FREDERIKSHAAB ISBLIN,042530-99999
FREDERIKSHAAB,042600-99999
FREDICKSHAB/PAAMIUT AIRPORT,042605-99999
NUNARSUIT,042660-99999
NARSARSUAQ,042700-99999
JULIANEHAAB,042720-99999
ANGISOQ,042850-99999
KAP MORRIS JESUP,043010-99999
STATION NORD AWS,043120-99999
HENRIK KROEYER HOLME,043130-99999
DANMARKSHAVN (PORT),043200-99999
DANEBORG (AUT),043300-99999
SCORESBYSUND,043390-99999
CONSTABLE POINT,043410-99999
APUTITEEQ,043510-99999
TASIILAQ,043600-99999
KULUSUK LUFTHAVN,043610-99999
IKERMIIT,043730-99999
IKERMIUARSUK,043820-99999
PRINS CHRISTIAN,043900-99999
SUMMIT,044160-99999
AKRABERG,060090-99999
VAGAR,060100-99999
TORSHAVN,060110-99999
SILSTRUP,060190-99999
THISTED,060240-99999
FLYVESTATION AALBORG,060300-99999
TYLSTRUP,060310-99999
STENHOJ,060320-99999
SINDAL,060340-99999
SKAGEN,060410-99999
HALD V,060490-99999
THYBOROEN,060520-99999
HVIDE SANDE,060580-99999
LYNGVIG,060590-99999
KARUP,060600-99999
SKIVE,060620-99999
STAUNING,060660-99999
FOULUM,060690-99999
AARHUS,060700-99999
FORNAES (CAPE),060710-99999
AARHUS SYD,060740-99999
ANHOLT,060790-99999
ESBJERG,060800-99999
BLAAVANDSHUK,060810-99999
SAEDENSTRAND,060890-99999
ROEMOE/JUVRE,060960-99999
VANDEL,061000-99999
BILLUND,061040-99999
KOLDING VAMDRUP,061080-99999
SKRYDSTRUP,061100-99999
SONDERBORG,061180-99999
KEGNAES,061190-99999
ODENSE,061200-99999
