date,BTC,ETH,BTC Volume in USD,ETH Volume in USD
2016-08-08 04:00:00,591.32,11.35,664692.0733449664,40211.80256576501
2016-08-09 04:00:00,587.76,12.36,883573.18128522,70578.75435493559
2016-08-10 04:00:00,596.91,12.39,741727.0160489589,32146.6879384413
2016-08-11 04:00:00,587.01,11.86,604985.7056418724,13546.1651488368
2016-08-12 04:00:00,584.65,11.95,701380.434212612,27532.753704744
2016-08-13 04:00:00,583.14,11.73,134673.5443107436,18002.065102629
2016-08-14 04:00:00,572.99,11.51,291298.49276129977,14377.6145152997
2016-08-15 04:00:00,566.99,11.12,748786.9572019391,29727.7422907304
2016-08-16 04:00:00,578.43,11.24,1138998.764939849,16004.5083936288
2016-08-17 04:00:00,574.41,11.13,799640.360747018,18443.735163065103
2016-08-18 04:00:00,575.43,10.85,704228.824607385,18772.719044821
2016-08-19 04:00:00,573.75,11.16,853979.8491533251,10073.5192377684
2016-08-20 04:00:00,580.99,11.05,267366.9879559001,17578.407818822503
2016-08-21 04:00:00,580.76,11.2,92065.9145404764,4856.978265664
2016-08-22 04:00:00,585.98,11.28,845662.2231105136,21789.7207854552
2016-08-23 04:00:00,581.98,11.3,527201.8375943771,8865.221206130002
2016-08-24 04:00:00,575.96,11.02,531765.9771900877,6810.472352426399
2016-08-25 04:00:00,575.77,11.45,1142559.0335868043,15161.605693625
2016-08-26 04:00:00,576.04,11.38,354428.46633958473,8303.1619381254
2016-08-27 04:00:00,570.32,11.11,169253.8037509183,3469.3522545219994
2016-08-28 04:00:00,574.99,10.94,181697.61446265585,8121.1762970342
2016-08-29 04:00:00,573.37,11.09,619459.705160926,18066.585946616
2016-08-30 04:00:00,574.18,11.3,682222.7223330551,19399.360077361
2016-08-31 04:00:00,576.94,12.09,1025991.4890733327,85387.9964736903
2016-09-01 04:00:00,570.86,12.12,551711.6990533342,53006.10536940959
2016-09-02 04:00:00,574.75,12.44,506982.648824564,26162.894715534003
2016-09-03 04:00:00,600.66,11.76,834319.5682256297,16502.2654098288
2016-09-04 04:00:00,606.09,11.84,242954.8812717939,4399.7711093376
2016-09-05 04:00:00,606.31,11.61,178054.4617827597,8392.6265538267
2016-09-06 04:00:00,613.45,11.99,356710.50695236435,7317.3858477840995
2016-09-07 04:00:00,614.65,11.78,893578.1936087065,7786.584394175599
2016-09-08 04:00:00,623.3,10.5,910511.069966812,46208.84161908
2016-09-09 04:00:00,620.01,11.71,619910.2251468141,17400.891052921103
2016-09-10 04:00:00,622.11,11.95,201846.05003276755,17831.340976599
2016-09-11 04:00:00,606.81,11.78,492568.4813467449,7248.095798100199
2016-09-12 04:00:00,607.99,11.84,472590.78518927016,43133.8952276704
2016-09-13 04:00:00,607.51,11.95,445283.9147605393,16820.4368542005
2016-09-14 04:00:00,605.25,12.02,794528.8369545374,18598.3006125414
2016-09-15 04:00:00,606.97,12.02,698998.6566041023,20671.330307759
2016-09-16 04:00:00,607.4,12.45,683934.6188929399,40734.1152209445
2016-09-17 04:00:00,606.38,12.62,232898.22613847145,17534.813794655198
2016-09-18 04:00:00,609.98,12.77,150227.50058655068,45114.5950517462
2016-09-19 04:00:00,607.84,13.55,1071557.953410544,86416.13225998152
2016-09-20 04:00:00,597.2,14.23,526542.9466561287,67881.7217831873
2016-09-21 04:00:00,595.7,13.26,2485137.125710946,48934.8018065556
2016-09-22 04:00:00,595.14,13.28,1745964.255521304,24392.1378593904
2016-09-23 04:00:00,602.0,13.17,2977308.4335005204,37918.1703400359
2016-09-24 04:00:00,601.48,13.04,975210.2634654423,7799.687659759199
2016-09-25 04:00:00,600.0,13.15,891961.786176,2143.5139951325
2016-09-26 04:00:00,606.14,12.97,1394389.145749085,30871.6945643097
2016-09-27 04:00:00,604.04,13.28,2256045.39537794,30911.6175160336
2016-09-28 04:00:00,604.17,13.35,1984153.6587580212,16939.946045335502
2016-09-29 04:00:00,604.87,13.23,2175258.1723512243,10738.0976833053
2016-09-30 04:00:00,611.51,13.2,2090201.9379702928,27812.108980392
2016-10-01 04:00:00,614.04,13.13,627897.1488922691,6710.520579769501
2016-10-02 04:00:00,610.5,13.19,477119.535146166,28138.23731458
2016-10-03 04:00:00,612.88,13.6,1569899.983618128,17733.966878216
2016-10-04 04:00:00,610.4,13.7,1688819.760573008,34374.251504456
2016-10-05 04:00:00,612.08,13.06,1556461.312500707,23263.0200153616
2016-10-06 04:00:00,610.3,13.0,2014311.5750405176,51768.60164164
2016-10-07 04:00:00,617.99,12.82,1887077.2004432736,62669.4350606558
2016-10-08 04:00:00,617.98,12.59,511732.6215133658,12151.548404109
2016-10-09 04:00:00,617.98,12.04,460426.082734436,7074.303682039999
2016-10-10 04:00:00,617.38,12.0,1309180.1841149172,8689.79158392
2016-10-11 04:00:00,637.29,11.79,2784502.330059212,13234.9376225232
2016-10-12 04:00:00,639.97,12.17,2428025.517480601,43508.5883259471
2016-10-13 04:00:00,636.56,12.05,2005064.6041541973,5611.9940146585
2016-10-14 04:00:00,639.47,11.99,2026655.4270724384,5430.0960558284
2016-10-15 04:00:00,636.98,12.04,393568.05579716153,20378.9399124304
2016-10-16 04:00:00,635.01,11.98,541862.9372937378,2935.1
2016-10-17 04:00:00,636.65,12.18,1742627.2514471312,5834.0116315026
2016-10-18 04:00:00,635.0,12.96,1630164.53288895,32865.3359747856
2016-10-19 04:00:00,625.41,12.18,1901997.14928742,49911.045821385
2016-10-20 04:00:00,629.99,12.04,1247717.5367889628,11865.8912743756
2016-10-21 04:00:00,630.99,12.08,1703275.797089006,5403.4766160312
2016-10-22 04:00:00,657.16,12.08,1392910.6464532951,2181.2826309776
2016-10-23 04:00:00,648.88,12.0,271704.9854835951,6445.28259252
2016-10-24 04:00:00,652.2,11.8,2288085.7633719184,100821.96701917
2016-10-25 04:00:00,657.01,11.7,1674113.03228308,48843.05015631599
2016-10-26 04:00:00,681.15,11.5,2313569.95244846,19040.493563405
2016-10-27 04:00:00,682.54,11.35,1721933.922741031,6503.126487008
2016-10-28 04:00:00,702.07,11.17,2045966.541151321,50430.428558861306
2016-10-29 04:00:00,708.26,10.5,1220039.8910050162,61226.98446753
2016-10-30 04:00:00,695.13,11.51,642061.50908812,35836.7254859425
2016-10-31 04:00:00,709.54,10.8,2431018.8217988685,12962.706541128002
2016-11-01 04:00:00,725.91,10.95,1583358.34603948,37189.618515321
2016-11-02 04:00:00,742.49,10.9,2190074.0459307213,11014.724099793
2016-11-03 04:00:00,701.61,10.87,3151641.04967813,10351.4767717483
2016-11-04 04:00:00,704.66,11.14,2356567.837698054,5794.0658607028
2016-11-05 04:00:00,712.0,11.07,681612.133900784,2255.4693894348
2016-11-06 04:00:00,706.1,11.04,663163.7073925684,9205.138573924798
2016-11-07 04:00:00,709.01,10.91,2181303.899245147,3326.9916844594
2016-11-08 04:00:00,730.38,10.45,2374033.6498841005,44571.2759261385
2016-11-09 04:00:00,719.02,10.63,1906612.890747733,14152.0231463041
2016-11-10 04:00:00,711.66,10.36,2242567.243618927,21854.4402483092
2016-11-11 04:00:00,715.21,10.33,1191367.205080403,10758.3356521494
2016-11-12 04:00:00,695.01,10.2,470805.61308689945,29091.074131872
2016-11-13 04:00:00,704.54,9.86,532474.2819685468,6981.860826063599
2016-11-14 04:00:00,712.73,9.9,1224696.8268768757,8460.403012413
2016-11-15 04:00:00,711.9,10.28,1868685.0519777297,6113.419209996399
2016-11-16 04:00:00,742.99,10.11,2531354.441014221,40868.2669757505
2016-11-17 04:00:00,738.6,9.98,1985620.292108124,8571.3355284928
2016-11-18 04:00:00,749.98,9.51,968511.3684314376,36261.0671547393
2016-11-19 04:00:00,751.99,9.73,419883.2088280408,4826.2789456126
2016-11-20 04:00:00,730.27,9.51,1002087.0651694392,4543.900552109099
2016-11-21 04:00:00,734.41,9.79,1461668.523889623,7657.674213744499
2016-11-22 04:00:00,748.35,9.91,3035208.5249032937,24834.9392116267
2016-11-23 04:00:00,741.51,9.91,1388232.384300323,3997.0276806363
2016-11-24 04:00:00,732.97,9.25,1080056.9121768952,44900.397096635
2016-11-25 04:00:00,741.74,9.57,1282032.5931188108,24092.1680796687
2016-11-26 04:00:00,731.23,9.36,429062.94084119645,1264.093925796
2016-11-27 04:00:00,732.99,8.99,990978.672858625,21188.3448796704
2016-11-28 04:00:00,733.99,8.7,1886938.8071746784,8313.299530653
2016-11-29 04:00:00,733.88,8.38,1516175.6706724404,25032.3466589988
2016-11-30 04:00:00,744.99,8.61,1607343.5127693894,11255.8704618549
2016-12-01 04:00:00,764.87,8.23,1938731.7384305208,28552.5789471314
2016-12-02 04:00:00,773.15,7.7,2432693.2653385284,114970.88957585
2016-12-03 04:00:00,766.85,7.98,738651.5411540066,59344.3120856964
2016-12-04 04:00:00,760.98,7.54,404487.846362032,10165.390359943
2016-12-05 04:00:00,755.73,7.03,1803426.214407744,34286.0345099722
2016-12-06 04:00:00,758.99,7.65,1595511.6058803278,66553.785890226
2016-12-07 04:00:00,764.37,8.68,1868296.861462965,21746.5058655348
2016-12-08 04:00:00,767.5,8.15,1438888.2173817249,8050.053815186001
2016-12-09 04:00:00,774.99,8.4,1633861.2660796172,10095.372823368
2016-12-10 04:00:00,766.01,8.1,613600.2235347568,1689.416064531
2016-12-11 04:00:00,770.97,8.46,392019.8117718761,1248.5392574346
2016-12-12 04:00:00,775.28,8.51,1915750.2945059773,5436.9781575848
2016-12-13 04:00:00,777.52,8.47,1783590.5972641648,5502.243306005601
2016-12-14 04:00:00,779.69,8.2,1916122.763444045,13494.572461535998
2016-12-15 04:00:00,776.52,7.86,2855330.3000555746,13020.6030405138
